I1,I2,La,Lb,Mab,FLUX_in_RCORE,FLUX_in_LCORE,FLUX_in_UCORE,Leak_R,Leak_L
-140,140,5.92E-05,5.92E-05,-1.02E-05,2.048693827,-2.047599637,-2.116315882,-0.012522814,0.012774113
-140,160,5.56E-05,5.84E-05,-9.41E-06,2.051392252,-2.074331632,-2.121206994,-0.011926765,0.013838135
-140,180,5.16E-05,5.77E-05,-8.60E-06,2.054238763,-2.098333422,-2.126085393,-0.011400287,0.014827815
-140,200,4.88E-05,5.70E-05,-8.01E-06,2.055633346,-2.118171278,-2.130694889,-0.010834098,0.015957027
-140,220,4.69E-05,5.64E-05,-7.58E-06,2.058493881,-2.138194696,-2.137284916,-0.010448196,0.016788817
-140,240,4.51E-05,5.59E-05,-7.19E-06,2.058558386,-2.153677968,-2.141093094,-0.00990266,0.017583116
-140,260,4.32E-05,5.53E-05,-6.79E-06,2.059685888,-2.168365528,-2.144003197,-0.00953029,0.018310859
-120,-260,5.96E-05,1.57E-04,-3.11E-05,-0.868880331,2.105267655,1.861728716,-0.03640094,-0.040919183
-120,-240,6.61E-05,1.59E-04,-3.51E-05,-0.793436953,2.082273216,1.841286051,-0.036367937,-0.040221106
-120,-220,7.28E-05,1.62E-04,-3.92E-05,-0.77678074,2.051845742,1.816894798,-0.036103831,-0.039746785
-120,-200,8.11E-05,1.65E-04,-4.42E-05,-0.76642265,2.010814004,1.780917581,-0.036194891,-0.039362344
-120,-180,9.31E-05,1.68E-04,-5.09E-05,-0.707907986,1.947295094,1.750313907,-0.036090273,-0.039246268
-120,-160,1.07E-04,1.69E-04,-5.84E-05,-0.65218475,1.886340733,1.648095086,-0.035704027,-0.037320408
-120,-140,0.000134036,1.72E-04,-7.14E-05,-0.519582553,1.753438927,1.526035215,-0.035533215,-0.036903449
-120,-120,0.000167716,0.000167704,-0.000084044,0.603377914,0.604262273,-0.000578407,-0.035110573,-0.034961553
-120,-100,1.89E-04,1.52E-04,-8.54E-05,1.729985667,-0.686936466,-1.574385146,-0.031042083,-0.029839259
-120,-80,1.91E-04,1.32E-04,-7.61E-05,1.829839998,-0.954376242,-1.763454572,-0.027777684,-0.024201026
-120,-60,1.85E-04,1.11E-04,-6.36E-05,1.882005057,-1.137165963,-1.863369218,-0.024792139,-0.018953665
-120,-40,1.69E-04,9.80E-05,-5.16E-05,1.916347159,-1.312435111,-1.93136075,-0.022453171,-0.013928326
-120,-20,1.52E-04,8.82E-05,-4.17E-05,1.940574355,-1.453134235,-1.978970774,-0.020125937,-0.008944095
-120,0,1.36E-04,8.18E-05,-3.39E-05,1.956596521,-1.596973657,-2.014945616,-0.018178726,-0.004669762
-120,20,1.16E-04,7.68E-05,-2.69E-05,1.97083184,-1.703688784,-2.040971822,-0.016451978,-0.000606445
-120,40,9.93E-05,7.32E-05,-2.18E-05,1.982840132,-1.794394312,-2.058710463,-0.015204389,0.002760108
-120,60,8.41E-05,7.03E-05,-1.77E-05,1.991484009,-1.861807658,-2.073373211,-0.014093132,0.005329637
-120,80,7.61E-05,6.80E-05,-1.54E-05,1.999448829,-1.922810003,-2.086389008,-0.013078733,0.007897352
-120,100,7.08E-05,6.60E-05,-1.38E-05,2.005816841,-1.967635426,-2.094161964,-0.012348085,0.009970918
-120,120,6.44E-05,6.44E-05,-1.22E-05,2.010958674,-2.009773132,-2.100444049,-0.011640108,0.011798363
-120,140,6.02E-05,6.32E-05,-1.12E-05,2.015492689,-2.04477658,-2.109913893,-0.010930218,0.013314501
-120,160,5.65E-05,6.22E-05,-1.02E-05,2.019766156,-2.070869516,-2.11484429,-0.010521806,0.014540659
-120,180,5.25E-05,6.13E-05,-9.35E-06,2.023115765,-2.095234405,-2.120216888,-0.009939037,0.01561047
-120,200,4.94E-05,6.05E-05,-8.64E-06,2.026213914,-2.116165528,-2.127246504,-0.009585865,0.016645741
-120,220,4.74E-05,5.99E-05,-8.15E-06,2.028587122,-2.13468839,-2.132315518,-0.008975488,0.017632826
-120,240,4.55E-05,5.93E-05,-7.73E-06,2.030528444,-2.15243702,-2.135651174,-0.008538162,0.018186912
-120,260,4.36E-05,5.87E-05,-7.30E-06,2.033215503,-2.167324679,-2.138294988,-0.008229817,0.019251551
-100,-260,5.67E-05,1.56E-04,-2.88E-05,-0.992065499,2.119755483,1.918839683,-0.031039659,-0.037361135
-100,-240,6.21E-05,1.59E-04,-3.23E-05,-1.002032466,2.093821195,1.906625806,-0.030945129,-0.0370445
-100,-220,6.85E-05,1.63E-04,-3.65E-05,-0.972863998,2.06861532,1.885357295,-0.030778549,-0.036331161
-100,-200,7.56E-05,1.67E-04,-4.13E-05,-0.964275588,2.036956746,1.865655736,-0.030690823,-0.035763909
-100,-180,8.64E-05,1.71E-04,-4.79E-05,-0.906602411,1.990875333,1.830563225,-0.030501101,-0.034693101
-100,-160,9.79E-05,1.75E-04,-5.50E-05,-0.879117112,1.93604417,1.785783032,-0.030201944,-0.033649024
-100,-140,1.17E-04,1.81E-04,-6.61E-05,-0.814021831,1.856352849,1.707333208,-0.030032042,-0.032635654
-100,-120,1.52E-04,1.89E-04,-8.54E-05,-0.675835507,1.712345205,1.589825315,-0.029757499,-0.031329055
-100,-100,0.000190276,0.000190236,-0.000102436,0.502365041,0.503073864,0.000718262,-0.029246079,-0.029098083
