t,Ia,Ib,I_total,Fluxr,Fluxl,Fluxu,Leakr,Leakl
2.4650000000000003e-05,117.98097403306836,102.69922712982913,220.6802011628975,1.4533676573573464,-0.3942225236251008,-1.2031690401374266,0.0313470502552854,0.030401764668223755
2.4675000000000003e-05,118.02578140894998,102.7492170322906,220.7749984412406,1.453304333067398,-0.39365766663893853,-1.2027648600836238,0.031361399607466714,0.03041635518062858
2.47e-05,118.07059372266158,102.799212502408,220.86980622506957,1.4532415758271422,-0.3930918256057089,-1.2023608015816158,0.03137579038986211,0.03043097969787603
2.4725e-05,118.11541097123039,102.84921352925856,220.96462450048895,1.4531793862627265,-0.3925250007450236,-1.2019568653134542,0.0313902226133566,0.030445638227930442
2.4750000000000002e-05,118.16023315168093,102.89922010190585,221.05945325358678,1.4531177650005904,-0.39195719227769354,-1.2015530519619524,0.03140469628881116,0.03046033077873546
2.4775000000000003e-05,118.20506026103503,102.94923220939982,221.15429247043485,1.4530567126674716,-0.39138840042573764,-1.2011493622106977,0.03141921142706261,0.03047505735821395
2.4800000000000003e-05,118.24989229631177,102.99924984077687,221.24914213708865,1.4529962298904049,-0.3908186254123789,-1.2007457967440451,0.031433768038923705,0.030489817974268113
2.4825000000000004e-05,118.29472925452748,103.04927298505983,221.34400223958733,1.452936317296716,-0.39024786746204654,-1.2003423562471163,0.03144836613518297,0.03050461263477927
2.485e-05,118.33957113269574,103.09930163125806,221.43887276395378,1.4528769755140198,-0.3896761268003691,-1.199939041405792,0.031463005726604744,0.030519441347607992
2.4875e-05,118.38441792782734,103.1493357683675,221.53375369619482,1.4528182051701966,-0.3891034036541543,-1.1995358529066849,0.03147768682392914,0.03053430412059401
2.4900000000000002e-05,118.42926963693026,103.19937538537063,221.62864502230087,1.4527600068934337,-0.3885296982514319,-1.1991327914371919,0.031492409437872015,0.03054920096155621
2.4925000000000003e-05,118.47412625700964,103.24942047123663,221.72354672824628,1.4527023813121618,-0.38795501082139233,-1.1987298576854142,0.031507173579124866,0.030564131878292607
